id,value
2f920d39-319e-4bf7-90c8-6133c3337af7,households|0.date_updated:'nan'
2f920d39-319e-4bf7-90c8-6133c3337af7,households|0.no_of_families_in_the_household:'nan'
2f920d39-319e-4bf7-90c8-6133c3337af7,households|0.house_ownership:'Owned Not'
2f920d39-319e-4bf7-90c8-6133c3337af7,households|0.no_of_people_in_the_household:'nan'
2f920d39-319e-4bf7-90c8-6133c3337af7,households|0.sanitary_ownership:'Owned Not'
2f920d39-319e-4bf7-90c8-6133c3337af7,households|0.type_of_house:'Concrete-based'
2f920d39-319e-4bf7-90c8-6133c3337af7,households|0.neighborhood_description:'Urban'
64c2e7de-0cc8-4df5-a54f-02398652c080,households|0.date_updated:'08/02/2019 at 08:44:13 PM GMT+08:00'
64c2e7de-0cc8-4df5-a54f-02398652c080,households|0.no_of_families_in_the_household:'nan'
64c2e7de-0cc8-4df5-a54f-02398652c080,households|0.house_ownership:'Not Owned'
64c2e7de-0cc8-4df5-a54f-02398652c080,households|0.no_of_people_in_the_household:'nan'
64c2e7de-0cc8-4df5-a54f-02398652c080,households|0.sanitary_ownership:'Not Owned'
64c2e7de-0cc8-4df5-a54f-02398652c080,households|0.type_of_house:'nan'
64c2e7de-0cc8-4df5-a54f-02398652c080,households|0.neighborhood_description:'Not Rural'
64c2e7de-0cc8-4df5-a54f-02398652c080,households|1.date_updated:'07/02/2018 at 08:44:13 PM GMT+08:00'
64c2e7de-0cc8-4df5-a54f-02398652c080,households|1.no_of_families_in_the_household:'nan'
64c2e7de-0cc8-4df5-a54f-02398652c080,households|1.house_ownership:'Owned'
64c2e7de-0cc8-4df5-a54f-02398652c080,households|1.no_of_people_in_the_household:'nan'
64c2e7de-0cc8-4df5-a54f-02398652c080,households|1.sanitary_ownership:'Owned'
64c2e7de-0cc8-4df5-a54f-02398652c080,households|1.type_of_house:'nan'
64c2e7de-0cc8-4df5-a54f-02398652c080,households|1.neighborhood_description:'Rural'
